番号,質問,選択肢1,説明_1,選択肢2,説明_2,選択肢3,説明_3,選択肢4,説明_4,選択肢5,説明_5,correct,domain
690,次のどれがデータ管理の目標ではありませんか?,データと情報の品質の確保,データと情報の品質を確保することは、データ管理の重要な目標です。データ品質は、意思決定や業務プロセスにおいて、データの正確性、一貫性、信頼性を確保します。,ステークホルダーデータのプライバシーと機密性の確保,ステークホルダーデータのプライバシーと機密性を確保することは、データ管理の重要な目標です。機密情報を不正アクセスや漏洩から保護することは、信頼を維持し、データ保護規制を遵守するために不可欠です。,データ資産のキャプチャ、保存、保護、整合性の確保,データ資産の取得、保存、保護、そして整合性の確保は、データ管理の重要な目標です。これらの活動は、組織内のデータの信頼性と有用性を維持するために不可欠です。,データや情報への不正アクセス、改ざん、使用の防止,データや情報への不正アクセス、改ざん、または不正使用を防止することは、データ管理の基本的な目標です。データセキュリティ対策は、データの侵害、不正な変更、または不正使用から保護するために実施されます。,企業のプロセスニーズを理解する,企業のプロセスニーズを理解することは、データ管理の目標ではありません。データ管理は、企業のプロセスニーズに具体的に対処することではなく、データ資産の管理、データの品質、プライバシー、セキュリティ、整合性の確保に重点を置いています。,5,1 Data Management
691,集合論に基づき、集合演算を使用するデータベース構成の一種。,リレーショナル,リレーショナルデータベースは集合論に基づいており、和集合、積集合、差集合といった集合演算を用いてデータを操作します。データは行と列を持つテーブルに格納され、テーブル間の関係はキーによって確立されます。,空間,空間データベースは、地図、地理情報システム（GIS）、位置情報サービスなど、空間内のオブジェクトに関連するデータを保存および検索するために設計されています。場合によっては集合演算を使用することもありますが、リレーショナルデータベースのように集合論を主眼に置いているわけではありません。,ノーSQL,NoSQLデータベースは、ドキュメントデータベース、キーバリューデータベース、ワイドカラムデータベース、グラフデータベースなど、様々な種類のデータモデルを扱うために設計された幅広いデータベース技術を包含しています。一部のNoSQLデータベースは集合演算をサポートしていますが、リレーショナルデータベースのように集合論に基づいているわけではありません。,階層的,階層型データベースは、データをツリー構造で整理し、各レコードは単一の親と複数の子を持ちます。このタイプの構成は集合論や集合演算に基づいていないため、質問で説明されている内容とは異なります。,トリプルストア,トリプルストアは、RDF（Resource Description Framework）の主語-述語-目的語のトリプル形式を用いてデータを保存および検索するデータベースです。データの検索には集合演算が含まれる場合もありますが、リレーショナルデータベースのように集合論に基づいているわけではありません。,1,6 Data Storage and Operations
692,データがビジネス資産に変換される仕組みを説明するデータ アーキテクチャ アーティファクトはどれですか。,マスターデータモデル,マスターデータモデルは、顧客、製品、サプライヤーなど、組織内の重要なデータエンティティの定義と管理に重点を置いています。データ管理において重要ですが、データがどのようにビジネス資産に変換されるかを具体的に記述していないため、この選択肢は本問において不正解です。,実装ロードマップ,実装ロードマップは、組織内でデータ管理戦略とイニシアチブを実施するための計画の概要を示します。データ管理プロジェクトの指針として重要ですが、データをビジネス資産に変換するプロセスを具体的に説明していないため、この選択肢は本問において不適切です。,ビジネスバリューチェーン,ビジネスバリューチェーンは、組織が顧客に価値ある製品やサービスを提供するために実行する一連の活動の概要を示します。ビジネスプロセスに関連しているものの、データをビジネス資産に変換する過程を具体的には説明していないため、この選択肢は不正解です。,データフロー,データフローは、組織内のあるシステムまたはプロセスから別のシステムまたはプロセスへのデータの移動を表します。データフローはデータ移動を理解する上で不可欠ですが、データがどのようにビジネス資産に変換されるかという点には特に焦点を当てていないため、この選択肢は本問において不正解となります。,データバリューチェーン,データバリューチェーン・アーティファクトは、データがビジネス資産へと変換されるエンドツーエンドのプロセスを記述します。生のデータが価値あるビジネス資産として最終的に利用されるまでの流れを概説しているため、この変換プロセスを記述するのに最適です。,5,4 Data Architecture
693,データセキュリティポリシーと手順は、,警備員がサーバールームを監視します。,セキュリティ担当者がサーバールームを守るなどの物理的なセキュリティ対策は全体的なセキュリティにとって重要ですが、データ セキュリティ ポリシーと手順は主にデータへのアクセスを制御し、データの整合性と機密性を確保することに重点を置いています。,ハッカーはデータにアクセスする前に特定されます。,ハッカーがデータにアクセスする前に特定することは予防的なセキュリティ対策ですが、データ セキュリティ ポリシーと手順は主に不正アクセスを防止し、許可された個人がデータを正しく使用および更新することに重点を置いています。,データは常に暗号化され、適切な人がキーを保有します。,データ暗号化はデータセキュリティの重要な側面ですが、データセキュリティポリシーや手順の唯一の目的ではありません。暗号化キーのみに頼るのではなく、アクセス権限と使用権限の制御に重点が置かれます。,適切な人が適切な方法でデータを使用および更新でき、不適切なアクセスや更新はすべて制限されます。,データセキュリティに関するポリシーと手順は、許可されたユーザーのみがデータにアクセスし、適切な方法でデータを使用および更新できるようにすることを目的としています。不適切なアクセスと更新を制限することで、データセキュリティが維持されます。,誰でもデータにアクセスし、更新し、使用することが困難です。,データへのアクセス、更新、利用を困難にすると、正当なユーザーにも支障をきたす可能性があります。データセキュリティに関するポリシーと手順は、セキュリティと使いやすさのバランスを取り、権限のあるユーザーがデータを効果的に活用できるようにする必要があります。,4,7 Data Security
694,エンタープライズ データ アーキテクチャの最終的なスポンサーおよび承認機関は誰ですか?,データガバナンスオフィス,データガバナンスオフィスは、データガバナンスの取り組みの実装と管理を担当しますが、通常、エンタープライズデータアーキテクチャの最終的なスポンサーや承認機関となる権限はありません。その役割は、より運用的な性質を帯びています。,CDO,最高データ責任者（CDO）は、データ戦略とガバナンスの責任を負う重要な幹部ですが、必ずしもエンタープライズデータアーキテクチャの最終的なスポンサーや承認機関であるとは限りません。CDOはガイダンスや意見を提供する場合もありますが、最終的な承認は通常、データガバナンス評議会などの上位の統治機関が行います。,データガバナンス協議会,データガバナンス評議会は通常、エンタープライズデータアーキテクチャの監督と承認を担当します。データガバナンスにおける最高統治機関として、データアーキテクチャに関する意思決定を後援し、承認する権限を有します。,データガバナンス運営委員会,データガバナンス運営委員会は、データガバナンス活動の指導と調整を担いますが、エンタープライズデータアーキテクチャの最終的な承認権限は持たない場合があります。その責任は、データガバナンスの運用面により重点を置いています。,取締役会,取締役会は組織内における高レベルの監督役割を担う場合もありますが、通常、エンタープライズデータアーキテクチャの承認に直接関与することはありません。取締役会は、戦略的な意思決定と財務監督に重点を置いています。,3,4 Data Architecture
695,ザックマンフレームワークでは、行は具体化変換と呼ばれ、抽象的なアイデアを具体化するために必要なステムを表します。「ビジネスコンセプト間の関係性の明確化」とは、どの観点ですか？,エグゼクティブ,ザックマン・フレームワークにおける経営的視点は、高レベルの戦略的意思決定、目標設定、そして組織全体の方向性の明確化に重点を置いています。ビジネスコンセプト間の関係性の明確化については、特に言及していません。,建築家,ザックマンフレームワークにおけるアーキテクトの視点は、企業の情報システムの構造と組織を設計することに重点を置きます。アーキテクトはビジネスコンセプト間の関係性を考慮することもありますが、主な焦点はシステムの技術的側面とアーキテクチャ的側面にあります。,エンジニア,ザックマンフレームワークにおけるエンジニアの視点は、アーキテクチャ設計に基づいた技術ソリューションの実装と構築に責任を負います。ビジネスコンセプト間の関係性の明確化よりも、技術的な実装に重点が置かれています。,企業,ザックマン・フレームワークにおけるエンタープライズ視点は、組織内のあらゆる視点とステークホルダーを包含する包括的な視点です。ビジネス概念間の関係性を理解することはありますが、ビジネスマネジメント視点のように、これらの関係性を明確にすることに特化しているわけではありません。,ビジネスマネジメント,ザックマン・フレームワークでは、「ビジネスコンセプト間の関係性の明確化」という視点はビジネスマネジメントの領域に属します。この視点は、組織内のビジネスコンセプト、関係性、そしてプロセスを定義し、それらがビジネスの目標や目的と整合していることを確かなものにすることに重点を置いています。,5,4 Data Architecture
696,CRUDマトリックスは、組織がビジネスプロセスのワークフローにおけるデータ変更の責任をマッピングするのに役立ちます。CRUDは,作成、レビュー、使用、破棄,この選択は標準のCRUD操作を表していないため、正しくありません。作成、レビュー、使用、破棄は一般的なアクションであり、データ管理操作に特に関連するものではありません。,作成、読み取り、更新、削除,正解は「作成、読み取り、更新、削除」です。これらはデータベース内のデータに対して実行できる4つの基本操作です。CRUDマトリックスは、ビジネスプロセスワークフローにおいてこれらの操作を実行する権限を持つユーザーを定義するのに役立ちます。,創造、反応、活用、委任,この選択は標準のCRUD操作を表さないため、正しくありません。Create、React、Utilize、Delegateはアクションですが、Create、Read、Update、Deleteといった標準的なデータ管理操作には対応していません。,機密、制限、非機密、破棄,この選択は標準のCRUD操作を表していないため、正しくありません。Confidential、Restricted、Unclassified、Destroyはデータの機密性の分類であり、データ管理操作を表すものではありません。,コスト、収益、アップリフト、減価償却,この選択は標準のCRUD操作を表さないため、正しくありません。コスト、収益、アップリフト、減価償却は財務用語であり、データ管理操作とは関係ありません。,2,7 Data Security
697,DAMA DMBOK によれば、データ ライフサイクルのどの部分が SDLC の不可欠な部分ですか?,指定、維持と使用、削除,DAMA DMBOKでは、仕様策定、保守と利用、そしてデータ消去の段階はSDLCの不可欠な要素とはみなされていません。これらの段階はデータの仕様策定、継続的なデータ利用、そしてデータの削除に重点を置いていますが、ソフトウェア開発ライフサイクルとは直接関係がありません。,計画、作成と取得、削除,DAMA DMBOKでは、計画、作成と取得、そして除去の各段階は、SDLCの不可欠な要素として明確に定義されていません。これらの段階はデータ管理において重要ですが、ソフトウェア開発プロセスとは直接関連していません。,計画の指定、有効化,DAMA DMBOKによると、データライフサイクルのうち、ソフトウェア開発ライフサイクル（SDLC）に不可欠な要素は、計画、仕様策定、有効化です。これらの段階には、データ管理の計画、データ要件の仕様策定、そしてソフトウェア開発プロセスにおけるデータソリューションの実装の有効化が含まれます。,指定、有効化、作成、取得,DAMA DMBOKでは、仕様策定、有効化、作成と取得の各段階はSDLCの不可欠な要素とはみなされていません。これらの段階はデータ管理に不可欠ですが、ソフトウェア開発の段階とは直接対応していません。,有効化、維持と使用、アーカイブと取得,DAMA DMBOKでは、有効化、保守と利用、アーカイブと取得の各段階は、SDLCの不可欠な要素として明確に言及されていません。これらの段階はデータ管理にとって重要ですが、ソフトウェア開発プロセスとは直接関連していません。,3,1 Data Management
698,なぜデータ ガバナンスが DAMA ホイールの中心にあるのでしょうか?,データガバナンスは最も重要な知識領域です,データガバナンスは重要ですが、DAMAホイールにおいて必ずしも最も重要な知識エリアではありません。それぞれの知識エリアはデータ管理において重要な役割を果たしており、相互に関連しており、同等の重要性を持っています。,ガバナンスは知識領域間の一貫性とバランスを保つために中心となる,ガバナンスはDAMAホイールの中心に位置し、すべての知識エリアにおける一貫性とバランスを確保します。ガバナンスは、他の知識エリアに影響を与え、連携を効果的に進めるための中心的な指針として機能します。,特に理由はありません,データガバナンスをDAMAホイールの中心に据えるのは恣意的なものではなく、明確な理由があります。データガバナンスは、フレームワーク内の他のすべての知識エリアに影響を与える基礎要素として機能します。,データガバナンスはデータ管理を担当します,データガバナンスは、データ管理に関するポリシー、手順、および標準を確立する責任を負いますが、組織内のデータのあらゆる側面を管理するのはデータガバナンスの唯一の責任ではありません。他の知識エリアも、効果的なデータ管理の実践に貢献します。,データガバナンスはすべての知識領域に影響します,データガバナンスは、データを効果的に管理するためのフレームワークと構造を提供することで、DAMAホイール内のすべての知識エリアに影響を及ぼします。これにより、データが一貫して安全に、そして組織の目標と目的に沿って管理されることが保証されます。,2,1 Data Management
699,データ統合を成功させるために不可欠なもの,データ検出の実行,データディスカバリの実行は、データソース、品質問題、データ要素間の関係性を特定できるため、データ統合プロセスにおける重要なステップです。しかし、データディスカバリは統合を成功させるための唯一の重要な要素ではありません。データの内容と構造を理解することも同様に重要です。,ビジネスルールの収集,ビジネスルールの収集は、データ統合プロセスをガイドし、組織の要件に従ってデータが変換および調整されるようにするために重要です。ビジネスルールはデータ統合において重要な役割を果たしますが、統合を成功させるために不可欠な唯一の要素ではありません。,ユーザープレゼンテーションの設計,ユーザープレゼンテーションの設計は、データ統合の技術的な側面というよりも、データの視覚化とユーザーエクスペリエンスに関係しています。ユーザーフレンドリーな方法でデータを提示することは重要ですが、様々なソースからデータを統合するという技術的なプロセスにおいては必須ではありません。この文脈では、データの内容と構造を理解することがより重要です。,データの内容と構造を理解する,データの内容と構造を理解することは、データ統合を成功させる上で不可欠です。異なるソースからのデータのマッピング、変換、そして整合を可能にするからです。データの内容と構造を明確に理解していないと、統合作業によってエラーや不整合が発生する可能性があります。,組織のビジネス目標を理解する,組織のビジネス目標を理解することは、全体的なデータ管理戦略にとって重要ですが、データ統合の成功とは直接関係がありません。ビジネス目標はデータ統合の優先順位を決定する上で重要な要素となるかもしれませんが、データの内容と構造を深く理解していなければ、統合の取り組みは不十分になる可能性があります。,4,8 Data Integration & Interoperability
700,DII導入のビジネス上の推進要因の一つは、サポートコストの管理です。これはどのように実現できるでしょうか？,クラウドベースのソリューションに移行することで,クラウドベースのソリューションへの移行はインフラコストの削減には役立つかもしれませんが、サポートコストの直接的な削減にはつながらない可能性があります。クラウドソリューションは拡張性と柔軟性を提供しますが、サポートプロセスとツールの最適化に重点を置く必要があります。,サポートをアウトソーシングすることで,サポートをアウトソーシングすることで社内リソースの負担は軽減されるかもしれませんが、必ずしもサポートコストを効果的に管理できるとは限りません。外部サポートプロバイダーには独自のコストがかかり、組織固有のニーズに必ずしも適合するとは限りません。,相互作用するシステムの数を減らすことで,連携するシステムの数を減らすことで、サポート環境を簡素化し、複数のインターフェースを管理する複雑さを最小限に抑えることができます。これにより、サポートプロセスの効率化と、サポートコストの削減が期待できます。,標準ツール実装を使用し、インターフェース管理の複雑さを軽減することで,標準ツールの実装を使用し、インターフェース管理の複雑さを軽減すると、プロセスを合理化し、カスタム ソリューションの必要性を減らし、メンテナンスとトラブルシューティングに必要な労力を最小限に抑えることで、サポート コストを管理しやすくなります。,未使用データを安価なメディアにアーカイブすることで,未使用データを安価なメディアにアーカイブすることは、ストレージコストの管理に役立ちますが、サポートコストに直接影響を与えるとは限りません。データ管理はコスト最適化にとって重要ですが、サポートコスト管理に対処するには、サポートプロセスとツールの改善に重点を置く必要があります。,4,8 Data Integration & Interoperability
701,組織のデータリスクを特定する必要がある場合、まず機密データを特定し、分類することから始めます。データが漏洩する可能性のあるタッチポイントを特定するために、どのような分析が必要でしょうか？,ユーザーグループ,ユーザーグループは機密データへのアクセスと取り扱いにおいて重要な役割を果たしますが、ユーザーグループのみに焦点を当てると、データ漏洩が発生する可能性のあるすべてのタッチポイントを網羅できない可能性があります。組織内のデータフローと利用状況という、より広い文脈を考慮することが重要です。,政府の規制,政府規制はコンプライアンスとデータ保護の確保に重要ですが、機密データが漏洩する可能性のあるタッチポイントの分析に直接役立つとは限りません。規制はデータ処理の実践を導くことはできますが、社内のデータフローや潜在的な脆弱性に関する具体的な洞察は提供しません。,ビジネスプロセス,機密データが漏洩する可能性のあるタッチポイントを特定するには、ビジネスプロセスを分析する必要があります。組織内の様々なプロセスにおけるデータの流れを理解することで、潜在的な脆弱性や漏洩ポイントを特定するのに役立ちます。,ソースシステム,ソースシステムは機密データの発生源を把握する上で重要ですが、それだけを分析するだけではデータの漏洩状況を完全に把握できない可能性があります。データがソースシステムから組織内の他の部門にどのように移動するかを考慮することが不可欠です。,対象システム,対象システムは、データが最終的に保存または使用される場所ですが、それらを分析するだけでは、機密データが漏洩する可能性のあるすべてのタッチポイントを明らかにすることはできません。包括的なリスク分析には、複数のシステムにわたるデータフローと使用状況全体を把握することが不可欠です。,3,7 Data Security
702,どのエンタープライズ アーキテクチャ ドメインが他のドメインの要件を確立しますか?,エンタープライズアプリケーションアーキテクチャ,エンタープライズ・アプリケーション・アーキテクチャは、ビジネスプロセスと機能をサポートするソフトウェアアプリケーションの設計と実装に重点を置いています。アプリケーション・アーキテクチャはビジネスオペレーションの実現において重要な役割を果たしますが、通常はビジネスアーキテクチャ領域で確立された要件によって推進されます。,エンタープライズビジネスアーキテクチャ,エンタープライズ・ビジネス・アーキテクチャは、他のアーキテクチャ領域の設計と実装を推進するビジネス要件、目標、戦略を確立します。また、データ、アプリケーション、テクノロジー、ソリューションアーキテクチャの開発に影響を与えるビジネスプロセス、組織構造、主要業績評価指標を定義します。,エンタープライズソリューションアーキテクチャ,エンタープライズ・ソリューション・アーキテクチャは、特定のビジネス上の問題や機会に対処するための統合ソリューションの設計と実装に重点を置いています。ソリューション・アーキテクチャはビジネス価値の提供において重要な役割を果たしますが、通常はビジネス・アーキテクチャ領域で確立された要件に基づいて設計されます。,エンタープライズデータアーキテクチャ,エンタープライズ・データ・アーキテクチャは、組織のデータ戦略、データ・ガバナンス、データ・モデル、そしてデータ管理プラクティスの定義に重点を置いています。データ・アーキテクチャはビジネスニーズをサポートする上で不可欠ですが、必ずしも他のアーキテクチャ領域の要件を規定するものではありません。,エンタープライズテクノロジーアーキテクチャ,エンタープライズ・テクノロジー・アーキテクチャは、組織のテクノロジー・インフラストラクチャ、プラットフォーム、およびシステムの定義に重点を置いています。テクノロジー・アーキテクチャはビジネス・オペレーションのサポートに不可欠ですが、通常はビジネス・アーキテクチャ・ドメインによって設定された要件と整合しています。,2,4 Data Architecture
703,セキュリティパッチが古いコンピュータ、パスワードが弱いウェブページ、SQLインジェクションを許す可能性のある保護されていない企業ソフトウェアなどが、,計算されたリスク,計算されたリスクとは、特定の状況における潜在的なリスクとメリットについて、十分な情報に基づいた意思決定を行うことを指します。質問にある例（古いセキュリティパッチ、脆弱なパスワード、保護されていないソフトウェア）はセキュリティリスクとなる可能性がありますが、多くの場合、見落としや過失に起因するため、通常は計算されたリスクとはみなされません。,脅威,脅威とは、ハッカー、マルウェア、その他の悪意のある行為者など、システムのセキュリティに対する潜在的な危険を指します。脆弱性は脅威が悪用する機会を生み出しますが、古いセキュリティパッチ、脆弱なパスワード、保護されていないソフトウェアなどは、脅威そのものではなく、脆弱性の例です。,脆弱性,脆弱性とは、システムのセキュリティを侵害する脅威によって悪用される可能性のあるシステムの弱点を指します。セキュリティパッチが適用されていないコンピュータ、脆弱なパスワードが設定されたWebページ、SQLインジェクションを許す可能性のある保護されていない企業ソフトウェアなどは、悪意のある攻撃者によって悪用される可能性のある脆弱性の例です。,マルウェア,マルウェアとは、コンピュータシステムを妨害、損傷、または不正アクセスすることを目的として設計された悪意のあるソフトウェアを指します。マルウェアはシステムの脆弱性を悪用する可能性がありますが、質問に示されている例（古いセキュリティパッチ、脆弱なパスワード、保護されていないソフトウェア）は、本質的にマルウェアの例ではなく、マルウェアによって悪用される可能性のある脆弱性の例です。,メンテナンス不良,不十分なメンテナンスとは、システムの適切な維持管理が不十分であることを指し、脆弱性やセキュリティリスクにつながる可能性があります。質問で挙げられた例（古いセキュリティパッチ、脆弱なパスワード、保護されていないソフトウェア）は、不十分なメンテナンス慣行に起因する可能性がありますが、「不十分なメンテナンス」という用語は、ここで言及されている具体的なセキュリティリスクを包含するものではありません。,3,7 Data Security
704,一貫性を保つために、エンタープライズ命名標準を物理データモデルに適用することが重要です。推奨されるメタデータセマンティクス標準は次のとおりです。,ISO 15489,ISO 15489は、記録のライフサイクル全体にわたる管理に焦点を当てた記録管理の規格です。データガバナンスとコンプライアンスにとって重要ですが、物理データモデルにおけるメタデータのセマンティクスや命名規則については具体的に規定していません。,ISO/IEC 11179,ISO/IEC 11179は、メタデータレジストリの標準であり、データ要素の構成、表現、定義に関するガイドラインを提供するため、正しい選択です。特にデータ要素のセマンティクスに焦点を当てているため、物理データモデルにおけるエンタープライズ命名標準の一貫性を確保するのに適しています。,ISO9001,ISO 9001は、製品とサービスの一貫した品質の確保に重点を置いた品質マネジメント規格です。組織全体の品質にとって重要ですが、データモデル内のメタデータのセマンティクスや命名規則については具体的に規定していません。,ISO 8000,ISO 8000は、データ交換とデータ品質管理に重点を置いたデータ品質規格です。高品質なデータの維持には関連しますが、物理データモデルにおけるメタデータのセマンティクスや命名規則については具体的に規定していません。,ANSI 859,ANSI 859は、メタデータのセマンティクスや物理データモデルの命名標準の文脈においては、認められた標準ではありません。データモデル内のエンタープライズ命名標準の一貫性を確保するためのガイドラインや推奨事項は提供されていません。,2,6 Data Storage and Operations
705,成果物であるデータ バリュー チェーンは、どのビジネス アーキテクチャ成果物と一致していますか?,ビジネス能力,ビジネスケイパビリティは、企業が何を実現し、どのように目標を達成できるかを定義します。ビジネスアーキテクチャ全体と関連しているものの、組織内のデータの流れと変換に重点を置くデータバリューチェーンの成果物とは特に連携していません。,ビジネスモデル,ビジネスモデルは、組織がどのように価値を創造し、提供し、獲得するかを記述します。ビジネスモデルはビジネス全体の構造を理解する上で重要ですが、データフローと価値創造プロセスに特に焦点を当てたデータバリューチェーンの成果物とは直接関係がありません。,ビジネスバリューストリーム,データバリューチェーンの成果物は、ビジネスに価値を創造し提供する一連の活動を表すため、ビジネスバリューストリームの成果物と整合しています。組織全体でデータがどのように活用・変換され、価値を生み出し、ビジネス目標を達成するかを概説します。,データ戦略,データ戦略は、ビジネス目標達成のために組織内でデータがどのように管理、ガバナンス、活用されるかを定義することに重点を置いています。これは全体的なデータ管理にとって重要ですが、ビジネスプロセスにおけるデータの流れを具体的に示すデータバリューチェーンの成果物とは直接連携していません。,ビジネスイベント,ビジネスイベントとは、組織内でビジネスプロセスを開始する重要な出来事やマイルストーンを指します。データ関連アクティビティのタイミングとトリガーを理解する上で重要ですが、ビジネスプロセスにおけるエンドツーエンドのデータフローに焦点を当てたデータバリューチェーンの成果物とは直接連携していません。,3,4 Data Architecture
706,IDCのヘンリー・モリス氏によると、分析アプリケーションは、機能領域または業界垂直を最適化するための事前構築されたソリューションを企業に提供します。,FALSE,この記述は誤りです。分析アプリケーションは、特定の機能領域または業種を最適化することを目的とした、事前に構築されたソリューションです。汎用ツールではなく、特定の分野における特定のビジネスニーズや課題に対応するためにカスタマイズされた、特化型のアプリケーションです。,真実,この記述は正しいです。分析アプリケーションとは、特定のビジネス分野または業界を最適化するための特定の機能を備えた、事前に構築されたソリューションです。これらのアプリケーションは、対象分野における意思決定とパフォーマンスを向上させるために、すぐに使用できるツールとインサイトを企業に提供するように設計されています。,で,で,で,で,で,で,2,14 Big Data and Data Science
707,ビジネスと IT の関係をマッピングする際に戦術が含まれるデータ管理フレームワーク モデルはどれですか?,ビジネスプロセスフレームワーク,ビジネスプロセスフレームワークは、ビジネスプロセスを定義および標準化するためのフレームワークですが、データ管理フレームワークモデルにおいてビジネスとITの関係をマッピングするための具体的な戦略は含まれていません。むしろ、プロセスの最適化と効率化に重点を置いています。,戦略的整合モデル,戦略的整合モデルは、データ管理の文脈におけるビジネスとITの関係を具体的にマッピングするのではなく、ビジネス戦略とIT戦略の整合に重点を置いています。これは、データ管理フレームワークモデルにおけるビジネスとITの関係のマッピングとは直接関係がありません。,シックスシグマ,シックスシグマはプロセス改善と品質管理のための方法論であり、ビジネスとITの関係をマッピングするための戦術を含むデータ管理フレームワークモデルではありません。質問とは直接関係ありません。,ISO 20000,ISO 20000はITサービスマネジメントの規格であり、データ管理フレームワークモデルにおけるビジネスとITの関係のマッピングについては特に規定していません。サービスの提供と管理プロセスに重点を置いています。,アムステルダム情報モデル,アムステルダム情報モデルは、ビジネスとITの関係をマッピングする際に戦術を組み込んだデータ管理フレームワークモデルです。ビジネス目標とIT機能を整合させるための構造化されたアプローチを提供するため、この質問に対する正しい選択肢となります。,5,1 Data Management
708,データと情報の違いは何ですか?,データはデジタル形式でのみ保存され、情報はあらゆる媒体で見つけることができます,データは一般的にデジタルストレージと関連付けられますが、情報はデジタル形式だけでなく、様々な形式や媒体で存在する可能性があります。物理的な文書、口頭でのコミュニケーション、視覚的な表現、その他デジタル以外の情報源にも存在します。,各組織によって異なります。DMBOK全体を通して、用語は互換的に使用されます。,DMBOK（データ管理知識体系）は、データと情報を明確に区別する厳密な定義を提供していません。これらの用語は、組織や状況によってしばしば互換的に使用され、個々の視点に基づいて解釈が異なります。,データは生データであり、情報はコンテキストのあるデータである,データは、文脈や意味を欠いた生の事実や数字とみなされます。一方、情報とは、特定の文脈において関連性と重要性を持たせるために処理、整理、または構造化されたデータです。,情報は常にメタデータを持つデータである,情報には通常、データに加えて、データ自体に関する詳細情報を提供する追加のコンテキストまたはメタデータが含まれます。メタデータがなくてもデータが存在する場合もありますが、情報には多くの場合、その意味と有用性を高めるためにメタデータが付随します。,データは情報の一種だが、情報はデータの形式ではない,データは情報のサブセットであり、情報の元となる原材料を表します。一方、情報とは、意思決定やコミュニケーションの目的において意味があり有用となるように整理、構造化、または文脈化された処理済みデータです。,2,1 Data Management
709,サービス指向アーキテクチャ (SOA) の利点の 1 つは何ですか?,アプリケーションの独立性を実現し、インターフェースシステムに大きな変更を加えることなくシステムを置き換えることができます。,サービス指向アーキテクチャ（SOA）は、アプリケーションの独立性を実現し、インターフェースシステムに大きな変更を加えることなくシステムを置き換えることを可能にします。これは、SOAによって、異なるアプリケーション間で容易に統合・再利用できる、モジュール化された独立したサービスの開発が可能になるためです。,新しいインターフェースを開発する最も速い方法,サービス指向アーキテクチャ（SOA）は再利用性とモジュール性を促進しますが、必ずしも新しいインターフェースを開発するための最速の方法ではありません。SOAの最大の目的は、変化するビジネス要件に適応できる、柔軟で拡張性の高いアーキテクチャを構築することです。,統合開発ライフサイクルの監視と制御を提供します,サービス指向アーキテクチャ（SOA）は、サービス設計と実装に対する標準化されたアプローチを推進することで、統合開発ライフサイクルの監視と制御を提供します。しかし、SOAのメリットはそれだけではありません。SOAは再利用性、柔軟性、相互運用性の促進にも重点を置いています。,データ利用者に最適化されたユーザーエクスペリエンスを提供する,データ利用者に最適化されたユーザーエクスペリエンスを提供することは、サービス指向アーキテクチャ（SOA）の直接的なメリットではありません。SOAはシステム全体のパフォーマンスとスケーラビリティを向上させますが、その主な焦点はシステム設計における相互運用性と柔軟性の実現にあります。,基礎となるデータ構造へのアクセスを許可する,サービス指向アーキテクチャ（SOA）は、基盤となるデータ構造にアクセスできるサービスの作成を可能にしますが、これはSOAの主な利点ではありません。SOAの主な利点は、システム設計における相互運用性、再利用性、そして柔軟性を促進する能力にあります。,1,8 Data Integration & Interoperability
710,時間の経過とともにデータを理解できるようにするには、ビッグデータの取り込みプロセス中に ___________ を収集して管理する必要があります。,メール,電子メールはコミュニケーションとデータ交換の一形態ですが、通常はビッグデータの取り込みプロセスの一部ではなく、データの長期的な理解を促進するための情報管理に不可欠なものでもありません。,属性,属性とは、データの特性や性質を指します。属性はデータを理解する上で重要ですが、長期的な理解を可能にするために、取り込みプロセス中に情報を収集・管理する必要性については具体的に言及していません。,文書,ドキュメントは、データを含む可能性のある個々の情報単位ですが、ビッグ データの長期的な理解を可能にするための取り込みプロセス中の情報の収集と管理には直接関係しません。,モデル,モデルは、データを分析および解釈するために使用される表現またはフレームワークですが、ビッグデータの長期的な理解を可能にするための取り込みプロセス中の情報の収集と管理には直接関係していません。,メタデータ,メタデータは、データの構造、形式、ソース、意味など、データ自体に関する情報を提供するため、ビッグデータの取り込みプロセスにおいて不可欠です。メタデータを管理することで、時間の経過とともにデータの理解と解釈を向上させることができます。,5,14 Big Data and Data Science
711,DAMAホイールには,知識領域,DAMAホイールは主に、データ管理における主要な焦点領域である知識エリアで構成されています。これらの領域は、組織内でデータを効果的に管理するための幅広いトピックと概念を網羅しています。,成熟度モデルの次元,成熟度モデルのディメンションは、DAMAホイールの主要な構成要素ではありません。成熟度モデルはデータ管理プラクティスの成熟度を評価するために使用されますが、DAMAホイールは効果的なデータ管理に不可欠な知識領域に焦点を当てています。,データ管理プロセス,データ管理プロセスはDAMAホイールの主要な構成要素ではありません。プロセスはデータ管理において重要ですが、DAMAホイールは特定の運用プロセスではなく、知識領域に重点を置いています。,データ管理の成果物,データ管理の成果物はDAMAホイールの主要な構成要素ではありません。成果物はデータ管理活動の重要な成果物ですが、DAMAホイールは、データ管理の様々な側面を理解し、実装するための構造化されたアプローチを提供することに重点が置かれています。,データ戦略イニシアチブ,データ戦略イニシアチブはDAMAホイールの主要な構成要素ではありません。DAMAホイールは、特定の戦略的イニシアチブではなく、データ管理のさまざまな側面を理解するための包括的なフレームワークを提供することに重点が置かれています。,1,1 Data Management
