number,question,choice_1,explanation_1,choice_2,explanation_2,choice_3,explanation_3,choice_4,explanation_4,choice_5,explanation_5,correct,domain
667,A type of content delivery system in which a news feed is delivered to news channels and providers is called:,Interactive,"Interactive content delivery systems involve user engagement and interaction with the content being delivered. While interactive elements can be incorporated into news feeds, the term does not specifically describe the type of system where news feeds are delivered to news channels and providers.",Subscribe,"Subscribe refers to the action of signing up or registering to receive content updates or notifications. While subscribing is a common practice in content delivery systems, it is not the specific type of system where news feeds are delivered to news channels and providers.",Push,"In a push content delivery system, the content is delivered to news channels and providers without them actively requesting it. This method is commonly used for news feeds, notifications, and updates that are sent directly to the recipients.",Publish,"Publish involves making content available to an audience or users. While publishing is a key component of content delivery systems, it does not specifically refer to the method of delivering news feeds to news channels and providers.",Pull,Pull content delivery systems require news channels and providers to actively request the content they want to receive. This method is not suitable for delivering news feeds as it relies on users initiating the content retrieval process.,3,9 Document & Content Management
668,The implementation of data architecture exposes the transformation of data as it moves across the landscape. A common name for this concept is:,"extract, transformation and load","Extract, Transform, Load (ETL) is a process used to extract data from various sources, transform it into a consistent format, and load it into a target database or data warehouse. While ETL is related to data transformation, it does not specifically capture the concept of tracking data movement and changes across the landscape.",data interfacing,"Data interfacing involves the interaction between different data systems, applications, or components to exchange data. While important in data management, it does not specifically capture the concept of data transformation as it moves across the landscape.",data discovery,"Data discovery is the process of identifying and exploring data sources within an organization to understand what data is available and how it can be used. While related to data architecture, it does not specifically refer to the transformation of data as it moves across the landscape.",data modelling,"Data modeling is the process of creating a visual representation of data structures and relationships within a database or system. While important in data management, it does not specifically capture the concept of tracking data transformation as it moves across the landscape.",data lineage,"Data lineage refers to the complete journey of data from its origin to its destination, including all the transformations and processes it undergoes along the way. It is a crucial concept in data architecture to track and understand how data moves and changes within an organization's data landscape.",5,4 Data Architecture
669,A type of data masking which may reveal only the last four digits of a credit card number to a call centre operator who uses that to verify the account number with a client. E.g. **** **** **** 9013,In-place persistent data masking,"In-place persistent data masking involves permanently transforming sensitive data to protect it from unauthorized access. While it can be useful for long-term data protection, it may not be the most suitable option for selectively revealing partial credit card numbers for verification purposes.",Dynamic data masking,"Dynamic data masking is the correct choice because it allows for the selective masking of sensitive data based on user roles or permissions. In this case, only the last four digits of the credit card number are revealed to the call centre operator, ensuring that sensitive information is protected while still allowing for necessary verification.",Classic data masking,"Classic data masking typically involves a consistent transformation of data to protect sensitive information. It may not be suitable for selectively revealing only a portion of the data, as in the case of showing only the last four digits of a credit card number.",Key masking,"Key masking involves encrypting or masking data using encryption keys. While it can provide strong security for sensitive information, it may not be the most appropriate choice for selectively revealing only the last four digits of a credit card number for verification purposes.",Randomised data masking,"Randomised data masking involves the randomization of data values to protect sensitive information. While it can be effective in certain scenarios, it may not be the best choice for selectively revealing specific parts of a credit card number, such as showing only the last four digits.",2,7 Data Security
670,What is the best solution to combat abuse of excessive privileges by a user?,Apply query level access control to restrict privileges to the minimum required SQL operations and data,"Applying query level access control is the best solution to combat abuse of excessive privileges by a user as it restricts privileges to only the minimum required SQL operations and data. This ensures that users can only access and manipulate the data they need for their specific tasks, reducing the risk of misuse or unauthorized access.",Continuous communication with the user's supervisor.,"Continuous communication with the user's supervisor may help in identifying potential issues or concerns related to privilege abuse, but it is not a direct solution to combat the abuse of excessive privileges. Effective access control measures and restrictions are more practical in preventing misuse of privileges.",Always apply the principle of most privilege when granting access.,"Applying the principle of most privilege when granting access, which means giving users the highest level of access possible, is not an effective solution to combat abuse of excessive privileges. This approach increases the risk of misuse and unauthorized access, as users may have more access than necessary for their roles.",Constantly monitor user's machines,"Constantly monitoring a user's machines may help detect abuse of privileges after it has occurred, but it does not prevent the abuse from happening in the first place. Monitoring alone is not a proactive solution to combat excessive privilege abuse.",Only give excessive privileges to honest users.,"Only giving excessive privileges to honest users is not a practical solution as it is difficult to determine the honesty of users beforehand. Granting excessive privileges to any user, regardless of their honesty, increases the risk of abuse and unauthorized access to sensitive data.",1,7 Data Security
671,The process of loading raw data into a data lake where it can be useful to many processes is called,Ingestion,"Ingestion refers to the process of bringing data from external sources into a storage system. In the context of a data lake, ingestion involves loading raw data into the data lake where it can be stored and made available for various processes. This process is essential for populating the data lake with diverse data sources.",ELT,"ELT stands for Extract, Load, Transform. In this process, raw data is extracted from various sources, loaded into a data lake without any transformation, and then transformed as needed for different processes. This process is commonly used in big data environments where data lakes are utilized.",ETL,"ETL stands for Extract, Transform, Load. In this process, raw data is extracted from various sources, transformed according to business requirements, and then loaded into a data warehouse for analysis. While ETL is commonly used in traditional data warehousing, it is not specifically related to loading raw data into a data lake.",OLTP,"OLTP stands for Online Transaction Processing. It is a type of system that manages transaction-oriented applications, typically involving high volumes of data processing. While OLTP systems are crucial for real-time transaction processing, they are not directly related to the process of loading raw data into a data lake.",CDC,"CDC stands for Change Data Capture. This process involves identifying and capturing changes made to data in real-time or near real-time. While CDC is important for tracking data changes, it is not specifically related to loading raw data into a data lake.",2,8 Data Integration & Interoperability
672,"Which DM Deliverable documents overall vision, business case, goals, principles, measures of success, risks and the operating model?",Data Management Framework,"The Data Management Framework provides a structure and guidelines for managing data within an organization. While it may include principles and goals, it does not cover the full range of elements such as business case, risks, and operating model as specified in the question.",Data Management Charter,"The Data Management Charter is the correct choice as it is the document that outlines the overall vision, business case, goals, principles, measures of success, risks, and the operating model for data management within an organization. It sets the foundation for the data management program and provides a roadmap for achieving the desired outcomes.",Data Management Proposal,The Data Management Proposal is a document that outlines a plan or suggestion for a data management project or initiative. It typically focuses on specific recommendations and strategies rather than the comprehensive elements mentioned in the question.,Data Management Scope Statement,"The Data Management Scope Statement typically defines the boundaries and scope of a specific data management project or initiative. It does not cover the overall vision, business case, goals, principles, measures of success, risks, and operating model as requested in the question.",Data Management Implementation Roadmap,"The Data Management Implementation Roadmap outlines the steps and activities required to implement a data management program or project. While it may include elements of the overall vision and goals, it does not cover all the aspects mentioned in the question.",2,1 Data Management
673,ARMA International published GARP in 2009. GARP stands for,Generally Accepted Recordkeeping Procedures,Generally Accepted Recordkeeping Procedures is not the correct acronym for GARP. The focus of GARP is on principles rather than specific procedures for recordkeeping.,Generic Acceptable Recordkeeping Procedures,Generic Acceptable Recordkeeping Procedures is not the correct acronym for GARP. The principles outlined in GARP are not generic but are specifically tailored for effective recordkeeping practices.,Generally Accepted Recordkeeping Principles,"GARP stands for Generally Accepted Recordkeeping Principles, as published by ARMA International in 2009. These principles provide a framework for organizations to effectively manage their records and information.",Generally Audited Recording Principles,"Generally Audited Recording Principles is not the correct acronym for GARP. The principles in GARP are focused on recordkeeping, not auditing or recording principles.",Generally Accounted Recordkeeping Practices,Generally Accounted Recordkeeping Practices is not the correct acronym for GARP. GARP focuses on principles rather than accounting practices in recordkeeping.,3,9 Document & Content Management
674,How many Perspectives are there in the Zachman framework?,12,The Zachman framework does not have 12 Perspectives. It only has 6 distinct Perspectives that cover different aspects of enterprise architecture.,6,"The Zachman framework consists of 6 Perspectives, which are Planner, Owner, Designer, Builder, Subcontractor, and Functioning Enterprise.",3,The Zachman framework does not have 3 Perspectives. It is known for its 6 Perspectives that offer a detailed analysis of enterprise architecture from different viewpoints.,36,The Zachman framework does not consist of 36 Perspectives. It is structured around 6 Perspectives that provide a comprehensive view of enterprise architecture.,1,The Zachman framework does not have only 1 Perspective. It is designed with 6 distinct Perspectives to provide a holistic approach to enterprise architecture.,2,4 Data Architecture
675,What is the process of finding electronic records that might serve as evidence in legal action called?,e-litigation,"e-litigation refers to the use of electronic tools and technologies in the litigation process, but it does not specifically focus on the process of finding electronic records for evidence, which is the primary purpose of e-discovery.",e-discovery,"e-discovery is the process of finding electronic records that may be relevant as evidence in legal action. It involves identifying, preserving, collecting, processing, reviewing, and producing electronic data for litigation or investigation purposes.",e-response,"e-response typically refers to the actions taken in response to a cybersecurity incident or breach, such as containing the incident, investigating the cause, and mitigating the impact. It is not directly related to finding electronic records for legal action.",e-preservation,"e-preservation involves the steps taken to ensure the long-term preservation and integrity of electronic records, typically for compliance or historical purposes. While preservation is important for e-discovery, it does not specifically refer to the process of finding electronic records for legal action.",e-retention,"e-retention involves the policies and practices related to the storage and retention of electronic records within an organization. While retention is important for e-discovery purposes, it is not specifically focused on the process of finding electronic records for legal action.",2,9 Document & Content Management
676,What are the three principles of data ethics as laid out in the Belmont Report?,"Storage Limitation, Integrity and Confidentiality, Accountability","Storage Limitation, Integrity and Confidentiality, and Accountability are key principles in data security and privacy, but they are not the principles specifically highlighted in the Belmont Report for data ethics.","Consent, Accuracy and Openness","Consent, Accuracy, and Openness are important aspects of data governance and privacy practices, but they are not the three principles of data ethics outlined in the Belmont Report.","Notice/Awareness, Choice/Consent, Access/Participation","Notice/Awareness, Choice/Consent, and Access/Participation are principles related to data privacy and individual rights, but they are not the principles specifically outlined in the Belmont Report for data ethics.","Purpose Limitation, Data Minimisation, Accuracy","Purpose Limitation, Data Minimisation, and Accuracy are important principles in data protection regulations such as GDPR, but they are not the principles outlined in the Belmont Report for data ethics.","Respect for Persons, Beneficence, Justice","The three principles of data ethics as laid out in the Belmont Report are Respect for Persons, Beneficence, and Justice. These principles focus on treating individuals with respect, maximizing benefits and minimizing harm, and ensuring fairness and equality in the use of data.",5,2 Data Handling Ethics
677,Which of the following is NOTincluded in the opinion of the European Data Protection Supervisor (EDPS) on data ethics?,Empowered Individuals,Empowered individuals are included in the opinion of the European Data Protection Supervisor (EDPS) on data ethics. The opinion stresses the importance of individuals being empowered to control their personal data and make informed decisions about its use.,Privacy-conscious engineering and design of data processing products and services,Privacy-conscious engineering and design of data processing products and services are included in the opinion of the European Data Protection Supervisor (EDPS) on data ethics. This aspect highlights the need for incorporating privacy considerations into the development of data processing products and services.,Future-oriented regulation of data processing and respect for the rights to privacy and to data protection,Future-oriented regulation of data processing and respect for the rights to privacy and to data protection are included in the opinion of the European Data Protection Supervisor (EDPS) on data ethics. The opinion emphasizes the importance of forward-looking regulation and the protection of privacy rights.,Right to request removal of personal data,"The right to request removal of personal data is not explicitly mentioned in the opinion of the European Data Protection Supervisor (EDPS) on data ethics. The focus of the opinion is on accountable controllers, privacy-conscious engineering, future-oriented regulation, and empowered individuals, rather than on specific rights related to personal data removal.",Accountable controllers who determine personal information processing,Accountable controllers who determine personal information processing are included in the opinion of the European Data Protection Supervisor (EDPS) on data ethics. The opinion emphasizes the importance of accountability in handling personal information and processing data responsibly.,4,2 Data Handling Ethics
678,"What perspective refers to data as one of the ""horizontals"" of an organisation?",Business,"The business perspective focuses on how data is used within specific business units or departments to support their individual functions and objectives. While important, this perspective does not necessarily view data as a horizontal element that spans across the entire organization.",Enterprise,"The enterprise perspective considers data as one of the ""horizontals"" of an organization, meaning that data is viewed as a foundational element that cuts across all business functions and departments. This perspective emphasizes the importance of managing data as a strategic asset that supports the overall goals and operations of the entire organization.",Governance,"The governance perspective focuses on establishing policies, procedures, and controls to ensure that data is managed effectively and in compliance with regulations. While governance is essential for data management, it does not specifically address the concept of data as one of the ""horizontals"" of an organization.",Information Technology,"The information technology perspective emphasizes the technical aspects of managing data, such as storage, processing, and security. While crucial for ensuring data integrity and availability, this perspective may not necessarily address the broader organizational implications of treating data as a horizontal element.",Siloed,"The siloed perspective refers to the practice of managing data in isolated or disconnected systems within different departments or business units. This approach can lead to data fragmentation and inefficiencies, as data is not shared or integrated across the organization as a whole.",2,1 Data Management
679,Obfuscation or redaction of data is the practice of?,Making information anonymous or removing sensitive information,Obfuscation or redaction of data involves making information anonymous or removing sensitive information to protect privacy and confidentiality. This practice helps prevent unauthorized access to sensitive data and reduces the risk of data breaches.,Organizing data into meaningful groups,"Organizing data into meaningful groups is not the same as obfuscation or redaction of data. Obfuscation focuses on protecting sensitive information, while data organization is about structuring data for easier access and analysis.",Reducing the size of large databases,"Reducing the size of large databases is not the purpose of obfuscation or redaction of data. While data compression techniques may be used to reduce storage space, obfuscation focuses on protecting sensitive information.",Selling data,"Selling data is not the practice of obfuscation or redaction. Obfuscation is about protecting data by hiding or removing sensitive information, not selling it to external parties.",Making information available to the public,"Making information available to the public is not related to obfuscation or redaction of data. In fact, obfuscation aims to restrict access to sensitive information rather than making it public.",1,7 Data Security
680,"According to the DMBOK, which of the following are included as Data Management goals?",Data Management goals should be driven by technical capability and available capabilities,"Data Management goals being driven by technical capability and available capabilities is not a recommended approach according to the DMBOK. Data Management goals should be aligned with business objectives and strategies, focusing on adding value and improving data quality and accessibility.",Data Quality goals must be aligned with ISO 27001,"Data Quality goals being aligned with ISO 27001 is not a standard Data Management goal according to the DMBOK. While data quality is crucial in Data Management, the specific alignment with ISO 27001 is not a universally recognized goal in the field.",Data Management goals must focus first on legislation,"Data Management goals focusing first on legislation is not a core goal according to the DMBOK. While compliance with regulations and legislation is important in Data Management, it is typically one aspect of a broader set of goals related to data governance, quality, and utilization.",Big Data goals need to change to reflect reality,"Big Data goals needing to change to reflect reality is not a specific Data Management goal according to the DMBOK. While adapting goals to new technologies and trends is important, it is not a core Data Management goal outlined in the framework.",We should ensure that data can be used effectively to add value to the enterprise,"According to the DMBOK, one of the primary goals of Data Management is to ensure that data can be used effectively to add value to the enterprise. This involves making data accessible, reliable, and relevant for decision-making and business operations.",5,1 Data Management
681,Big data and data lakes depend on the concept of _______ when storing data.,Hadoop,"Hadoop is a framework that allows for the distributed processing of large data sets across clusters of computers using simple programming models. While Hadoop is commonly used in big data environments, it is a technology for processing and analyzing data, not specifically for storing data in big data and data lakes.",ETL,"ETL stands for Extract, Transform, Load, which is a traditional data integration process where data is extracted from various sources, transformed according to business rules, and then loaded into a data warehouse. While ETL is commonly used in data management, it is not specifically associated with the concept of storing data in big data and data lakes.",SQL,"SQL (Structured Query Language) is a standard language for accessing and manipulating databases. While SQL is commonly used for querying and managing data in relational databases, it is not specifically associated with the concept of storing data in big data and data lakes, which typically involve non-relational data storage and processing.",CDC,"CDC stands for Change Data Capture, which is a process used to identify and capture changes made to data in a database. While CDC is important for real-time data integration and synchronization, it is not directly related to the concept of storing data in big data and data lakes.",ELT,"ELT stands for Extract, Load, Transform, which is the process of extracting data from various sources, loading it into a data lake or warehouse, and then transforming it for analysis. This process is commonly used in big data and data lakes to store and manage large volumes of data efficiently.",5,14 Big Data and Data Science
682,Which of the following is the goal of data discovery?,Understand the organization's business objectives,"Understanding the organization's business objectives is important for overall data management strategy, but it is not the specific goal of data discovery. Data discovery focuses on identifying and locating data sources.",Having well-defined interaction between self-contained software modules,"Having well-defined interaction between self-contained software modules is more related to software architecture and design, not specifically to the goal of data discovery. Data discovery is about identifying and locating data sources.","Making data available in the format and timeframe needed by data consumers, both human and system","Making data available in the format and timeframe needed by data consumers is more related to data delivery and accessibility, not specifically to the goal of data discovery. Data discovery focuses on identifying and locating data sources.",Assessing the quality of data,"Assessing the quality of data is an important aspect of data management, but it is not the primary goal of data discovery. Data quality assessment typically comes after data discovery to ensure the data meets certain standards.",Identifying potential sources of data for the Data Integration effort,"The goal of data discovery is to identify potential sources of data that can be used in the Data Integration effort. By discovering and understanding where data resides, organizations can effectively integrate and utilize data from various sources.",5,8 Data Integration & Interoperability
683,What is the set of changed values scheduled to be sent since the last time data was transferred called?,The snapshot,A snapshot is a point-in-time copy of data or a specific state of data at a particular moment. It does not specifically refer to the set of changed values scheduled for transfer since the last data transfer.,The transaction,A transaction is a unit of work that is executed within a database management system. It involves a series of operations that are either all completed successfully or rolled back as a whole. It is not specifically related to the set of changed values scheduled for transfer.,The delta,"The term ""delta"" refers to the set of changed values that are scheduled to be sent since the last data transfer. It represents the incremental changes that need to be synchronized or transferred.",The ETL,"ETL (Extract, Transform, Load) is a process used to extract data from various sources, transform it into a consistent format, and load it into a target data warehouse or database. It does not specifically refer to the set of changed values scheduled for transfer.",The batch,A batch typically refers to a group of records or data that are processed together as a single unit. It does not specifically denote the set of changed values scheduled for transfer.,3,8 Data Integration & Interoperability
684,What type of database replication involves a two-phase commit process?,CDC,CDC (Change Data Capture) is a method used to track changes in a database and capture them for replication to other systems. It does not necessarily involve a two-phase commit process like mirroring.,Log-shipping,Log-shipping is a database replication method where transaction logs from the primary database are periodically backed up and shipped to the secondary database for replay. It does not involve a two-phase commit process like mirroring.,Passive,Passive database replication refers to creating a passive copy of the primary database for failover or reporting purposes. It does not necessarily involve a two-phase commit process like mirroring.,Vertical,"Vertical database replication involves replicating data vertically, meaning copying specific columns or tables from one database to another. It does not inherently involve a two-phase commit process like mirroring.",Mirroring,Mirroring involves a two-phase commit process where changes are first written to the primary database and then replicated to the mirrored database. This ensures that both databases are in sync and transactions are committed in a coordinated manner.,5,6 Data Storage and Operations
685,Big Data Management requires,no discipline at all,"This statement is incorrect. Big Data Management, like any other form of data management, requires a high level of discipline to ensure the accuracy, reliability, and security of the data being handled. Without discipline, organizations risk making critical errors in data analysis, decision-making, and compliance with regulations.",less discipline that relational data management,"This statement is incorrect. Big Data Management actually requires more discipline than relational data management due to the complexity and volume of data involved. The variety, velocity, and volume of big data necessitate stricter governance, quality control, and security measures compared to traditional relational data management.",more discipline than relational data management,"Big Data Management involves handling vast amounts of data from various sources, which requires a high level of discipline in terms of data governance, data quality, data security, and data privacy. Unlike relational data management, where data is typically structured and organized, big data management often deals with unstructured and semi-structured data, making it more challenging to maintain discipline in managing and analyzing the data effectively.",Data Scientists,"Data Scientists play a crucial role in Big Data Management by using their expertise to analyze and derive insights from large and complex datasets. However, they are not synonymous with discipline in data management. While Data Scientists contribute to the effective utilization of big data, discipline in data management is essential for ensuring the quality, integrity, and security of the data throughout the entire data lifecycle.",nan,nan,3,14 Big Data and Data Science
686,Which on of the following is NOT a part of the Strategic Alignment Model?,Business Strategy,Business Strategy is a key component of the Strategic Alignment Model as it defines the overall direction and goals of the organization. Aligning IT strategy with the business strategy is essential for ensuring that technology investments support and enhance the business objectives.,Organization & Process,"Organization & Process are key components of the Strategic Alignment Model as they focus on the structure, culture, and processes within the organization. Aligning the organization and processes with the business and IT strategies is essential for achieving strategic alignment and driving successful outcomes.",Stakeholder Management,"Stakeholder Management is not a part of the Strategic Alignment Model. While stakeholder management is crucial for the success of any project or initiative, it is not explicitly included in the Strategic Alignment Model framework which focuses on aligning business strategy, IT strategy, information systems, and organization & process.",Information Systems,"Information Systems are an integral part of the Strategic Alignment Model as they encompass the technology infrastructure, applications, and data that support the organization's operations. Ensuring that information systems are aligned with the business strategy is essential for driving organizational success.",IT Strategy,IT Strategy is a fundamental element of the Strategic Alignment Model as it outlines how technology resources and capabilities will be leveraged to support the organization's goals and objectives. Aligning IT strategy with the business strategy is essential for achieving strategic alignment.,3,1 Data Management
687,Who approves the data sharing agreement which stipulates the responsibilities of data sharing organisations and the acceptable use of the data to be exchanged?,Internal Auditors,"Internal Auditors are primarily responsible for assessing and evaluating internal controls within an organization to ensure compliance with policies and regulations. While they may review data sharing agreements as part of their audits, they do not typically have the authority to approve such agreements.",The Data Governance Council,"The Data Governance Council is a group of stakeholders responsible for establishing and enforcing data governance policies and procedures within an organization. While they may review and provide input on data sharing agreements, the approval authority usually lies with business data stewards who have a more detailed understanding of the data being shared.",Business Data Stewards,Business Data Stewards are responsible for overseeing the management and governance of data within their respective business units. They play a key role in approving data sharing agreements as they understand the specific data needs and requirements of their business area.,The Data Security Organisation,"The Data Security Organization is responsible for implementing and maintaining data security measures within an organization. While they play a critical role in ensuring the security of shared data, they do not typically have the authority to approve data sharing agreements, which is usually the responsibility of business data stewards.",The CDO,"The Chief Data Officer (CDO) is responsible for setting the overall data strategy and governance framework within an organization. While the CDO may have oversight of data sharing activities, the approval of specific data sharing agreements is typically delegated to business data stewards.",3,8 Data Integration & Interoperability
688,A 'Data Lake' is an environment where a vast amount of data can be,"Ingested, shared, assessed and analysed","A 'Data Lake' is designed to store and manage a vast amount of raw data, allowing for data to be ingested, shared, assessed, and analyzed. This environment enables data scientists and analysts to access and work with large datasets for various purposes.","digested, processed, deleted and visualized","While data in a 'Data Lake' can be digested, processed, and visualized, the primary purpose is not to delete data. 'Data Lakes' are intended to store and retain large volumes of data for future analysis and processing.","updated, obfuscated, nullified and cleansed","Updating, obfuscating, nullifying, and cleansing data are not the primary functions of a 'Data Lake'. A 'Data Lake' is meant to store raw data in its original form, rather than modifying or cleansing it.","purged, sorted, split and scanned","Purging, sorting, splitting, and scanning data are not the primary functions of a 'Data Lake'. A 'Data Lake' is focused on storing and managing raw data for analysis, rather than performing these specific actions on the data.","Ingested, screened, obfuscated and purged","Ingesting, screening, obfuscating, and purging data are not the main functions of a 'Data Lake'. The purpose of a 'Data Lake' is to store and manage vast amounts of raw data for analysis and processing, rather than screening or purging it.",1,14 Big Data and Data Science
689,What is the difference between a document and content?,"A document has a lifecycle and can become an official record, content can not.","This choice is incorrect because both documents and content can have lifecycles. While a document may go through different stages and potentially become an official record, content can also be managed and archived in a similar manner.",There is no difference.,"This choice is incorrect because there is indeed a difference between a document and content. A document is the physical or digital entity that contains content, while content refers to the actual information and data within the document.","A content contains a document, data and information.","This choice is incorrect because a document is not contained within content. A document is the overarching entity that contains content, which includes the data and information that the document presents or stores.",A document may be paper whereas content is always electronic.,"This choice is incorrect because a document can be both paper-based and electronic, depending on the format in which it is stored. Content, on the other hand, refers to the information and data within the document, regardless of the medium in which it is presented.","A document is the container for content, which is the data and information inside the file.","A document is typically a file or record that serves as a container for content, which refers to the actual data and information contained within the document. The content is the substance of the document, while the document itself is the structure that holds that content.",5,9 Document & Content Management
690,Which of the following is NOT a goal of Data Management?,Ensuring the quality of data and information,"Ensuring the quality of data and information is a key goal of Data Management. Data quality ensures that data is accurate, consistent, and reliable for decision-making and operational processes.",Ensuring the privacy and confidentiality of stakeholder data,Ensuring the privacy and confidentiality of stakeholder data is a critical goal of Data Management. Protecting sensitive information from unauthorized access or disclosure is essential for maintaining trust and compliance with data protection regulations.,"Capturing, Storing, protecting and ensuring the integrity of data assets","Capturing, storing, protecting, and ensuring the integrity of data assets are essential goals of Data Management. These activities are crucial for maintaining the reliability and usability of data within an organization.","Preventing unauthorized access, manipulation, or use of data and information","Preventing unauthorized access, manipulation, or use of data and information is a fundamental goal of Data Management. Data security measures are implemented to safeguard data from breaches, unauthorized modifications, or misuse.",Understanding the process needs of the enterprise,"Understanding the process needs of the enterprise is not a goal of Data Management. Data Management focuses on managing data assets, ensuring data quality, privacy, security, and integrity, rather than specifically addressing the process needs of the enterprise.",5,1 Data Management
691,"A type of database organisation based on set theory, and using set operations.",Relational,"Relational databases are based on set theory and use set operations such as union, intersection, and difference to manipulate data. They store data in tables with rows and columns, and relationships between tables are established using keys.",Spatial,"Spatial databases are designed to store and query data related to objects in space, such as maps, geographic information systems (GIS), and location-based services. While they may use set operations in some cases, they are not primarily based on set theory like relational databases.",NoSQL,"NoSQL databases encompass a wide range of database technologies that are designed to handle various types of data models, including document, key-value, wide-column, and graph databases. While some NoSQL databases may support set operations, they are not inherently based on set theory like relational databases.",Hierarchical,"Hierarchical databases organize data in a tree-like structure where each record has a single parent and multiple children. This type of organization is not based on set theory and set operations, making it different from the description provided in the question.",Triplestore,"Triplestores are databases that store and query data using the subject-predicate-object triple format of RDF (Resource Description Framework). While they may involve set operations in querying data, they are not specifically based on set theory as relational databases are.",1,6 Data Storage and Operations
692,Which Data Architecture Artefact describes how data transforms into business assets?,Master Data Models,"Master Data Models focus on defining and managing the critical data entities within an organization, such as customers, products, and suppliers. While important for data management, they do not specifically describe how data transforms into business assets, making this choice incorrect for the question.",Implementation Roadmap,"Implementation Roadmap outlines the plan for implementing data management strategies and initiatives within an organization. While crucial for guiding data management projects, it does not specifically describe the process of data transformation into business assets, making this choice incorrect for the question.",Business Value Chains,"Business Value Chains outline the sequence of activities that an organization performs to deliver a valuable product or service to its customers. While related to business processes, they do not specifically describe the transformation of data into business assets, making this choice incorrect for the question.",Data Flows,"Data Flows represent the movement of data from one system or process to another within an organization. While essential for understanding data movement, they do not specifically focus on how data transforms into business assets, making this choice incorrect for the question.",Data Value Chain,"The Data Value Chain artefact describes the end-to-end process of how data transforms into business assets. It outlines the flow of data from its raw form to its final use as a valuable business asset, making it the correct choice for describing this transformation process.",5,4 Data Architecture
693,Data Security policies and procedures ensure that,Security officers guard the server rooms.,"While physical security measures like security officers guarding server rooms are important for overall security, data security policies and procedures primarily focus on controlling access to data and ensuring its integrity and confidentiality.",Hackers are identified before they access the data.,"While identifying hackers before they access data is a proactive security measure, data security policies and procedures primarily focus on preventing unauthorized access and ensuring data is used and updated correctly by authorized individuals.","Data is always encrypted, and the right people have the keys.","While data encryption is an important aspect of data security, it is not the sole purpose of data security policies and procedures. The focus is more on controlling access and usage rights rather than solely relying on encryption keys.","The right people can use and update data in the right way, and that all inappropriate access and update is restricted.","Data Security policies and procedures aim to ensure that only authorized individuals have access to data and that they can use and update it in the appropriate manner. By restricting inappropriate access and updates, data security is maintained.","it is difficult for anyone to access, update and use the data.","Making data difficult to access, update, and use may hinder legitimate users as well. Data security policies and procedures should strike a balance between security and usability to ensure authorized individuals can effectively work with the data.",4,7 Data Security
694,Who is the ultimate sponsor and approving body for the enterprise data architecture?,The Data Governance Office,"The Data Governance Office is responsible for implementing and managing data governance initiatives, but they do not usually have the authority to be the ultimate sponsor and approving body for the enterprise data architecture. Their role is more operational in nature.",The CDO,"The Chief Data Officer (CDO) is a key executive responsible for data strategy and governance, but they may not always be the ultimate sponsor and approving body for the enterprise data architecture. While the CDO may provide guidance and input, the final approval typically lies with a higher governing body like the Data Governance Council.",The Data Governance Council,"The Data Governance Council is typically responsible for overseeing and approving the enterprise data architecture. As the highest governing body in data governance, it has the authority to sponsor and approve decisions related to data architecture.",The Data Governance Steering Committee,"The Data Governance Steering Committee plays a role in guiding and coordinating data governance activities, but they may not have the ultimate authority to sponsor and approve the enterprise data architecture. Their responsibilities are more focused on operational aspects of data governance.",The Board of Directors,"The Board of Directors may have a high-level oversight role in the organization, but they are not typically directly involved in the approval of enterprise data architecture. Their focus is more on strategic decision-making and financial oversight.",3,4 Data Architecture
695,"In the Zachman Framework the rows are known as Reification Transformations and represent the stems necessary to instantiate an abstract idea. ""Clarification of the relationships between business concepts"" is which perspective?",Executive,"The Executive perspective in the Zachman Framework is more concerned with high-level strategic decision-making, setting goals, and defining the overall direction of the organization. It does not specifically address the clarification of relationships between business concepts.",Architect,"The Architect perspective in the Zachman Framework deals with designing the structure and organization of the enterprise's information systems. While architects may consider relationships between business concepts, the primary focus is on the technical and architectural aspects of the systems.",Engineer,The Engineer perspective in the Zachman Framework is responsible for implementing and building the technical solutions based on the architectural design. It is more focused on the technical implementation rather than the clarification of relationships between business concepts.,Enterprise,"The Enterprise perspective in the Zachman Framework is a holistic view that encompasses all perspectives and stakeholders within the organization. While it may involve understanding relationships between business concepts, it is not specifically focused on the clarification of these relationships as the Business Management perspective is.",Business Management,"In the Zachman Framework, the perspective of ""Clarification of the relationships between business concepts"" falls under the Business Management row. This perspective focuses on defining the business concepts, relationships, and processes within an organization to ensure alignment with business goals and objectives.",5,4 Data Architecture
